"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"60","bocqueti","W-","Ringer",2022-10-20,"R5",8,2,"bocquetiW-RingerR5"
"61","melanogaster","W+","FHV",2022-10-20,"R1",15,2,"melanogasterW+FHVR1"
"62","melanogaster","W+","FHV",2022-10-20,"R2",15,2,"melanogasterW+FHVR2"
"63","melanogaster","W+","FHV",2022-10-20,"R3",15,2,"melanogasterW+FHVR3"
"64","melanogaster","W+","FHV",2022-10-20,"R4",14,2,"melanogasterW+FHVR4"
"65","melanogaster","W+","FHV",2022-10-20,"R5",14,2,"melanogasterW+FHVR5"
"66","melanogaster","W+","Ringer",2022-10-20,"R1",15,2,"melanogasterW+RingerR1"
"67","melanogaster","W+","Ringer",2022-10-20,"R2",14,2,"melanogasterW+RingerR2"
"68","melanogaster","W+","Ringer",2022-10-20,"R3",15,2,"melanogasterW+RingerR3"
"69","melanogaster","W+","Ringer",2022-10-20,"R4",15,2,"melanogasterW+RingerR4"
"70","melanogaster","W+","Ringer",2022-10-20,"R5",15,2,"melanogasterW+RingerR5"
"71","melanogaster","W-","FHV",2022-10-20,"R1",15,2,"melanogasterW-FHVR1"
"72","melanogaster","W-","FHV",2022-10-20,"R2",15,2,"melanogasterW-FHVR2"
"73","melanogaster","W-","FHV",2022-10-20,"R3",15,2,"melanogasterW-FHVR3"
"74","melanogaster","W-","FHV",2022-10-20,"R4",15,2,"melanogasterW-FHVR4"
"75","melanogaster","W-","FHV",2022-10-20,"R5",14,2,"melanogasterW-FHVR5"
"76","melanogaster","W-","Ringer",2022-10-20,"R1",14,2,"melanogasterW-RingerR1"
"77","melanogaster","W-","Ringer",2022-10-20,"R2",15,2,"melanogasterW-RingerR2"
"78","melanogaster","W-","Ringer",2022-10-20,"R3",14,2,"melanogasterW-RingerR3"
"79","melanogaster","W-","Ringer",2022-10-20,"R4",15,2,"melanogasterW-RingerR4"
"80","melanogaster","W-","Ringer",2022-10-20,"R5",14,2,"melanogasterW-RingerR5"
"81","baimai","W+","FHV",2022-10-20,"R1",14,1,"baimaiW+FHVR1"
"82","baimai","W+","FHV",2022-10-20,"R2",14,1,"baimaiW+FHVR2"
"83","baimai","W+","FHV",2022-10-20,"R3",15,1,"baimaiW+FHVR3"
